Name,Firm,Chambers Rank,Years PE,Chambers PE Rank,LinkedIn Presence,Law360 News,Law360 Cases,Google News,Speaking Engagements (2024/2025),Thought Pieces (2025),Firm PR Pieces,PE Brand Rank,PE Practice Band Rank,score
Peter Brown 89,Kirkland & Ellis,4,6,2,0,82,27,6,0,10,0,4,2,143.0
John Smith 10,Kirkland & Ellis,1,17,2,1,84,15,10,4,0,3,1,2,140.0
John Williams 56,Skadden,4,12,4,1,89,8,2,4,2,3,5,5,139.0
Susan Smith 78,Latham & Watkins,5,1,1,1,83,17,9,2,9,3,3,5,139.0
John Smith 93,Baker McKenzie,5,19,3,0,72,28,1,4,3,0,3,1,139.0
Peter Williams 29,Baker McKenzie,3,2,1,1,68,44,4,1,6,4,2,2,138.0
Emily Jones 44,Latham & Watkins,1,20,5,1,43,31,14,5,6,4,3,5,138.0
Emily Brown 2,Baker McKenzie,4,4,4,1,90,23,3,2,0,1,2,3,137.0
Peter Williams 68,DLA Piper,4,16,5,1,59,24,19,2,2,1,2,2,137.0
Jane Brown 31,DLA Piper,1,15,1,0,73,40,1,0,1,0,2,2,136.0
John Brown 75,Skadden,5,18,2,0,38,47,8,1,7,3,2,5,136.0
Michael Miller 25,Baker McKenzie,1,15,3,1,68,17,7,4,4,4,5,3,132.0
Emily Smith 72,Kirkland & Ellis,4,17,4,0,46,27,18,1,9,1,1,4,132.0
Susan Davis 22,Kirkland & Ellis,2,11,2,0,78,16,5,0,9,2,5,1,131.0
Susan Jones 92,Skadden,5,6,1,0,65,28,2,5,5,5,3,5,130.0
Jane Williams 17,DLA Piper,1,2,5,0,88,13,1,1,8,3,2,4,128.0
Peter Brown 64,DLA Piper,2,19,1,0,63,6,16,4,8,2,3,4,128.0
Jane Miller 19,Kirkland & Ellis,3,15,5,1,65,7,9,0,10,4,4,4,127.0
John Williams 15,Kirkland & Ellis,3,19,5,1,29,40,11,0,8,3,1,5,125.0
Michael Williams 35,Baker McKenzie,1,2,1,0,71,26,6,3,6,1,2,4,123.0
John Jones 95,Baker McKenzie,4,1,5,0,88,1,7,3,2,4,4,1,120.0
Michael Jones 28,Skadden,5,16,1,1,58,7,10,1,8,3,4,5,119.0
Emily Jones 65,DLA Piper,4,20,4,0,75,0,3,5,2,2,2,2,119.0
Michael Smith 86,Skadden,4,19,3,0,55,17,11,3,0,3,1,3,119.0
Michael Williams 36,Latham & Watkins,2,5,1,1,70,17,7,4,5,1,2,2,117.0
Susan Miller 79,Skadden,4,14,1,0,31,44,2,4,7,0,5,4,116.0
Marni Lerner,Simpson Thacher & Bartlett,1,12,1,0,88,2,6,0,0,2,2,1,115.0
Jane Smith 6,Kirkland & Ellis,1,16,2,1,48,16,7,5,5,4,5,2,112.0
Jane Jones 88,Kirkland & Ellis,4,6,3,0,42,22,16,3,8,0,3,4,111.0
Michael Smith 42,Kirkland & Ellis,2,16,5,1,21,42,4,2,10,2,4,1,110.0
Peter Miller 9,Baker McKenzie,5,3,3,1,35,26,9,5,9,1,5,5,107.0
John Williams 71,Baker McKenzie,5,17,1,1,45,4,15,1,7,3,2,4,105.0
Peter Davis 24,Skadden,2,3,4,0,55,3,18,0,10,1,5,3,104.0
Jane Davis 63,Skadden,1,9,1,1,42,19,9,0,8,5,4,5,104.0
Emily Davis 53,Latham & Watkins,4,13,2,1,12,48,11,0,7,2,1,2,103.0
Michael Smith 66,DLA Piper,1,17,4,1,2,50,16,4,0,2,1,3,101.0
Peter Brown 77,Skadden,1,12,5,1,17,31,19,4,2,4,1,4,101.0
Kevin Rinker,Debevoise & Plimpton,3,12,2,1,68,0,7,1,6,0,0,0John Williams 0,100.0
Peter Jones 1,Kirkland & Ellis,5,16,3,0,46,0,16,5,2,1,3,3,100.0
Jane Brown 60,DLA Piper,2,6,4,0,45,12,19,2,4,0,4,1,99.0
Peter Miller 50,Kirkland & Ellis,3,6,5,0,31,25,10,5,3,3,4,3,98.0
Michael Jones 74,DLA Piper,5,11,5,0,23,20,11,4,10,3,2,4,98.0
John Brown 62,Baker McKenzie,4,7,5,0,37,28,4,2,3,4,1,2,97.0
Emily Brown 67,Skadden,3,12,3,0,27,17,13,5,10,1,5,1,97.0
Susan Brown 7,Latham & Watkins,5,5,3,0,10,50,9,3,4,0,4,3,96.0
John Williams 32,DLA Piper,2,11,4,1,7,41,9,1,8,2,4,5,95.0
Emily Miller 80,Latham & Watkins,4,14,4,1,22,15,15,1,10,3,1,5,95.0
Peter Brown 43,Skadden,3,10,4,1,32,29,2,2,3,2,3,2,93.0
Emily Miller 61,DLA Piper,2,18,4,0,16,30,2,0,9,4,5,2,92.0
Jane Williams 8,DLA Piper,5,6,5,1,24,15,20,3,5,4,1,2,91.0
Michael Brown 40,DLA Piper,4,5,3,1,35,27,1,5,3,3,3,1,91.0
Emily Williams 30,Kirkland & Ellis,2,16,3,0,37,9,9,4,0,0,5,5,90.0
Peter Davis 54,Baker McKenzie,1,1,1,0,27,32,15,2,1,4,2,4,90.0
Jane Williams 11,DLA Piper,5,15,4,0,26,25,0,5,2,3,2,1,88.0
Susan Davis 46,Baker McKenzie,2,12,1,0,24,18,12,2,7,3,4,2,87.0
Peter Smith 12,Baker McKenzie,5,19,3,1,20,7,20,0,3,2,1,5,86.0
John Williams 13,Kirkland & Ellis,4,7,1,1,43,2,8,1,6,1,5,4,83.0
David Allison,Latham & Watkins,3,11,2,1,45,1,10,2,0,0,4,3,82.0
Jane Davis 51,DLA Piper,3,19,1,0,9,19,10,2,6,4,4,5,82.0
Jane Smith 94,Baker McKenzie,4,5,4,1,23,28,3,0,5,5,1,3,82.0
Michael Williams 57,Latham & Watkins,2,14,1,1,25,1,18,5,2,4,5,3,81.0
Emily Brown 4,Baker McKenzie,2,11,5,1,12,16,13,1,8,3,5,3,80.0
Emily Miller 58,Baker McKenzie,5,15,1,0,7,35,2,3,2,5,1,3,79.0
Peter Williams 91,Baker McKenzie,1,11,5,0,10,5,20,1,9,4,5,5,76.0
Susan Davis 16,DLA Piper,2,11,1,0,11,22,15,1,1,2,5,4,75.0
Michael Williams 82,Kirkland & Ellis,2,6,3,1,23,10,11,2,0,4,5,5,72.0
John Jones 41,Kirkland & Ellis,4,1,5,0,14,14,17,2,7,1,4,1,70.0
Emily Williams 55,Latham & Watkins,3,13,5,0,18,11,5,1,3,2,1,1,63.0
Susan Brown 34,Kirkland & Ellis,5,10,2,0,10,5,12,1,3,2,3,4,57.0
Susan Miller 27,Kirkland & Ellis,1,7,4,1,1,21,1,5,5,0,2,2,50.0
William Chudd,Davis Polk,4,11,3,0,21,2,1,0,0,0,1,4,47.0
Susan Davis 52,Kirkland & Ellis,2,2,5,1,0,5,7,1,6,1,5,4,39.0
John Jones 87,DLA Piper,5,9,2,0,2,5,1,3,5,1,4,2,39.0
